"InitiatedBy","SessionName","SessionStartTime","ItemName","ItemSize","SourceName","LogEntryID","LogDetail","LogItemCreationTime","LogItemEndTime","SessionStatus","SessionResult","ProcessedObjects"
"USDEMO\peter.stickle","Exchange restore (Job: Office 365 Suite to Blob - 8/2/2020 6:01:26 PM)","8/4/2020 3:37:11 PM","Excel Attachment","98019","Grey Worm\Inbox","1","Item Excel Attachment was opened successfully (type: IPM.Note; source: Grey Worm\Inbox; target: Grey Worm\Inbox)","8/4/2020 3:46:06 PM","8/4/2020 3:46:06 PM","Stopped","Success","3"
"USDEMO\peter.stickle","Exchange restore (Job: Office 365 Suite to Blob - 8/2/2020 6:01:26 PM)","8/4/2020 3:37:11 PM","Excel Attachment","98019","Grey Worm\Inbox","2","Item Excel Attachment was opened successfully (type: IPM.Note; source: Grey Worm\Inbox; target: Grey Worm\Inbox)","8/4/2020 3:49:25 PM","8/4/2020 3:49:25 PM","Stopped","Success","3"
"USDEMO\peter.stickle","Exchange restore (Job: Office 365 Suite to Blob - 8/2/2020 6:01:26 PM)","8/4/2020 3:37:11 PM","PDF Attachment","344912","Grey Worm\Inbox","3","Item PDF Attachment was opened successfully (type: IPM.Note; source: Grey Worm\Inbox; target: Grey Worm\Inbox)","8/4/2020 3:49:40 PM","8/4/2020 3:49:40 PM","Stopped","Success","3"
"USDEMO\esteve.nobime","Exchange restore (Entire organization - 6/17/2020 6:12:42 PM)","8/4/2020 3:25:11 PM","Welcome to MyAnalytics","122507","Daenerys Targaryen\Inbox","1","Item Welcome to MyAnalytics was opened successfully (type: IPM.Note.WeveWelcome; source: Daenerys Targaryen\Inbox; target: Daenerys Targaryen\Inbox)","8/4/2020 3:26:28 PM","8/4/2020 3:26:28 PM","Stopped","Success","2"
"USDEMO\esteve.nobime","Exchange restore (Entire organization - 6/17/2020 6:12:42 PM)","8/4/2020 3:25:11 PM","You have been added to a team in Microsoft Teams","117995","Daenerys Targaryen\Inbox","2","Item You have been added to a team in Microsoft Teams was opened successfully (type: IPM.Note; source: Daenerys Targaryen\Inbox; target: Daenerys Targaryen\Inbox)","8/4/2020 3:26:56 PM","8/4/2020 3:26:56 PM","Stopped","Success","2"
"USDEMO\dustin.dasal","Exchange restore (Job: Office 365 Suite to Blob - 8/2/2020 6:01:26 PM)","8/3/2020 9:37:27 AM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","8/3/2020 9:38:27 AM","8/3/2020 9:38:27 AM","Stopped","Success","1"
"USDEMO\Joseph.Tucker","Exchange restore (Job: Exchange 2016 to OnPrem - 7/30/2020 6:01:30 PM)","7/31/2020 9:32:32 AM","[Success] SureBackup Job NOLA (1 machines) ","20567","Andy Perkins\Inbox","1","Item [Success] SureBackup Job NOLA (1 machines)  was opened successfully (type: IPM.Note; source: Andy Perkins\Inbox; target: Andy Perkins\Inbox)","7/31/2020 9:32:55 AM","7/31/2020 9:32:55 AM","Stopped","Success","2"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 7/29/2020 6:01:59 PM)","7/30/2020 2:47:58 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","7/30/2020 2:48:31 PM","7/30/2020 2:48:31 PM","Stopped","Success","2"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 7/29/2020 6:01:59 PM)","7/30/2020 2:47:58 PM","You have been added to a team in Microsoft Teams","117873","Arya Stark\Inbox","2","Item You have been added to a team in Microsoft Teams was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","7/30/2020 2:48:39 PM","7/30/2020 2:48:39 PM","Stopped","Success","2"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 7/8/2020 6:11:23 PM)","7/30/2020 11:26:50 AM","Excel Attachment","98019","Grey Worm\Inbox","1","Item Excel Attachment was opened successfully (type: IPM.Note; source: Grey Worm\Inbox; target: Grey Worm\Inbox)","7/30/2020 11:28:32 AM","7/30/2020 11:28:32 AM","Stopped","Success","1"
