BackupJob,VMName,Timestamp,BackupSize(GB),DataSize(GB)
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 5:00,0.3,0.66
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:48,8.34,40
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 19:00,0.3,0.66
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 8:00,0.26,0.63
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 15:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 10:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 1:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 23:00,0.05,0.11
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 14:00,0.03,0.03
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 16:00,0.05,0.1
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 19:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:00,0.03,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 7:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 13:00,0.04,0.06
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 15:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 6:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 20:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 12:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 1:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 20:00,0.05,0.08
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 4:00,0.04,0.06
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 17:00,0.03,0.04
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 16:00,0.03,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 13:56,0.03,0.03
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 8:00,0.03,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 9:42,0.02,0.01
