"JobName","Result","DataSize(GB)","BackupSize(GB)","DedupRatio","CompressRatio","Date"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.5x","10/20/2019 2:00:13 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.5x","10/21/2019 2:00:12 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","10/22/2019 2:00:11 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.5x","10/23/2019 2:00:03 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.4x","10/24/2019 2:00:20 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","10/25/2019 2:00:07 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.5x","10/26/2019 2:00:11 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.5x","10/27/2019 2:00:12 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","10/28/2019 2:00:13 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","10/29/2019 2:00:16 AM"
"VMware - Linux VMs","Success","0.06","0.05","1x","1.4x","10/30/2019 2:00:13 AM"
"VMware - Linux VMs","Success","0.07","0.04","1x","1.5x","10/31/2019 2:00:18 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.4x","11/1/2019 2:00:16 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","11/2/2019 2:00:21 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.5x","11/3/2019 2:00:15 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","11/4/2019 2:00:23 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/5/2019 2:00:06 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","11/6/2019 2:00:05 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.2x","11/7/2019 2:00:16 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","11/8/2019 2:00:23 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","11/9/2019 2:00:07 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.5x","11/10/2019 2:00:21 AM"
"VMware - Linux VMs","Success","0.07","0.05","1x","1.4x","11/11/2019 2:00:10 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/12/2019 2:00:14 AM"
"VMware - Linux VMs","Success","0.06","0.04","1x","1.4x","11/13/2019 2:00:15 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/13/2019 12:00:15 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/13/2019 1:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/13/2019 2:00:21 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/13/2019 3:00:21 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/13/2019 4:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/13/2019 5:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/13/2019 6:00:00 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/13/2019 7:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/13/2019 8:00:01 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/13/2019 9:00:08 PM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/13/2019 10:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/13/2019 11:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 12:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/14/2019 1:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/14/2019 2:00:12 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/14/2019 3:00:14 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/14/2019 4:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/14/2019 5:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 6:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 7:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 8:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 9:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 10:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 11:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 12:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/14/2019 1:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 2:00:02 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/14/2019 3:00:06 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/14/2019 4:00:06 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 5:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/14/2019 6:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 7:00:09 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/14/2019 8:00:01 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/14/2019 9:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/14/2019 10:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/14/2019 11:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 12:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 1:00:03 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/15/2019 2:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/15/2019 3:00:15 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/15/2019 4:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/15/2019 5:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 6:00:01 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 7:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 8:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 9:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 10:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 11:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 12:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/15/2019 1:00:18 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 2:00:07 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/15/2019 3:00:10 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/15/2019 4:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 5:00:07 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 6:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 7:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 8:00:17 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/15/2019 9:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/15/2019 10:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/15/2019 11:00:11 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/16/2019 12:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/16/2019 1:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 2:00:23 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/16/2019 3:00:22 AM"
"VMware - Linux VMs","Success","0.04","0.03","1x","1.1x","11/16/2019 4:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/16/2019 5:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 6:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 7:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 8:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 9:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 10:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 11:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 12:00:19 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/16/2019 1:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 2:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/16/2019 3:00:08 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/16/2019 4:00:02 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 5:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 6:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 7:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/16/2019 8:00:20 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/16/2019 9:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 10:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/16/2019 11:00:16 PM"
"VMware - Linux VMs","Success","0.04","0.04","1x","1.2x","11/17/2019 12:00:06 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/17/2019 1:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/17/2019 2:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 3:00:21 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/17/2019 4:00:10 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 5:00:00 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 6:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 7:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 8:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 9:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 10:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 11:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 12:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/17/2019 1:00:08 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 2:00:21 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/17/2019 3:00:10 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/17/2019 4:00:00 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 5:00:14 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 6:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 7:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/17/2019 8:00:09 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/17/2019 9:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/17/2019 10:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/17/2019 11:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 12:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 1:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/18/2019 2:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/18/2019 3:00:16 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/18/2019 4:00:13 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/18/2019 5:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/18/2019 6:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 7:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/18/2019 8:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 9:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/18/2019 10:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/18/2019 11:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 12:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/18/2019 1:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 2:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/18/2019 3:00:12 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/18/2019 4:00:10 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 5:00:08 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/18/2019 6:00:07 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 7:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/18/2019 8:00:06 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/18/2019 9:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 10:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/18/2019 11:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 12:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/19/2019 1:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/19/2019 2:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 3:00:10 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/19/2019 4:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/19/2019 5:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/19/2019 6:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 7:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 8:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 9:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 10:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 11:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 12:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/19/2019 1:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 2:00:17 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/19/2019 3:00:18 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/19/2019 4:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 5:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 6:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 7:00:03 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/19/2019 8:00:02 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/19/2019 9:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 10:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/19/2019 11:00:19 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 12:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 1:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/20/2019 2:00:14 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/20/2019 3:00:13 AM"
"VMware - Linux VMs","Success","0.04","0.03","1x","1.1x","11/20/2019 4:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/20/2019 5:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 6:00:02 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.5x","11/20/2019 7:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 8:00:17 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 9:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 10:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 11:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 12:00:00 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/20/2019 1:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 2:00:03 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/20/2019 3:00:05 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/20/2019 4:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 5:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 6:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 7:00:09 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/20/2019 8:00:11 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/20/2019 9:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 10:00:07 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/20/2019 11:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 12:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 1:00:04 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/21/2019 2:00:07 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/21/2019 3:00:07 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.4x","11/21/2019 4:00:10 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/21/2019 5:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 6:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 7:00:18 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/21/2019 8:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/21/2019 9:00:12 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 10:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 11:00:09 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/21/2019 12:00:04 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/21/2019 1:00:00 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/21/2019 2:00:22 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/21/2019 3:00:13 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/21/2019 4:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/21/2019 5:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.6x","11/21/2019 6:00:12 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/21/2019 7:00:05 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/21/2019 8:00:03 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/21/2019 9:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/21/2019 10:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/21/2019 11:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 12:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 1:00:03 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/22/2019 2:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/22/2019 3:00:13 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/22/2019 4:00:07 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 5:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 6:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/22/2019 7:00:01 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 8:00:08 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 9:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 10:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/22/2019 11:00:20 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 12:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/22/2019 1:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 2:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/22/2019 3:00:06 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/22/2019 4:00:01 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 5:00:15 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 6:00:04 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 7:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/22/2019 8:00:15 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/22/2019 9:00:17 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 10:00:20 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/22/2019 11:00:23 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 12:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/23/2019 1:00:22 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 2:00:01 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/23/2019 3:00:01 AM"
"VMware - Linux VMs","Success","0.05","0.04","1x","1.3x","11/23/2019 4:00:00 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/23/2019 5:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 6:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/23/2019 7:00:18 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 8:00:14 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 9:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.5x","11/23/2019 10:00:13 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 11:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 12:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/23/2019 1:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 2:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.8x","11/23/2019 3:00:14 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/23/2019 4:00:11 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 5:00:05 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 6:00:21 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 7:00:13 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/23/2019 8:00:06 PM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.6x","11/23/2019 9:00:22 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 10:00:16 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/23/2019 11:00:08 PM"
"VMware - Linux VMs","Success","0.04","0.04","1x","1.2x","11/24/2019 12:00:01 AM"
"VMware - Linux VMs","Success","0.02","0.03","1x","0.7x","11/24/2019 1:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/24/2019 2:00:09 AM"
"VMware - Linux VMs","Success","0","0.02","1x","0.2x","11/24/2019 3:00:02 AM"
"VMware - Linux VMs","Success","0.03","0.03","1x","1x","11/24/2019 4:00:16 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 5:00:06 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/24/2019 6:00:21 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 7:00:11 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.5x","11/24/2019 8:00:01 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.4x","11/24/2019 9:00:15 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/24/2019 10:00:05 AM"
"VMware - Linux VMs","Success","0.01","0.03","1x","0.5x","11/24/2019 11:00:19 AM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.3x","11/24/2019 12:00:09 PM"
"VMware - Linux VMs","Success","0.01","0.02","1x","0.6x","11/24/2019 1:00:22 PM"
